,build_year,trade_price,year,month,day,city,sub_city,dong,code,name,floor,exclusive_private_area,address,detailed_address
0,2000,"    55,800",2011,1,12,서울특별시,종로구, 청운동,11110,청운현대,5,84.51,서울특별시 종로구  청운동,56-45
1,2000,"    59,000",2011,1,21,서울특별시,종로구, 청운동,11110,청운현대,4,84.51,서울특별시 종로구  청운동,56-45
2,2002,"    53,500",2011,1,8,서울특별시,종로구, 신교동,11110,신현(101동),4,84.82,서울특별시 종로구  신교동,6-13
3,2008,"    67,000",2011,1,6,서울특별시,종로구, 사직동,11110,광화문풍림스페이스본(101동~105동),1,94.51,서울특별시 종로구  사직동,9
4,2008,"    63,500",2011,1,6,서울특별시,종로구, 사직동,11110,광화문풍림스페이스본(101동~105동),13,70.8,서울특별시 종로구  사직동,9
5,2008,"   130,000",2011,1,14,서울특별시,종로구, 사직동,11110,광화문풍림스페이스본(106동),7,153.42,서울특별시 종로구  사직동,9-1
6,1994,"    38,000",2011,1,31,서울특별시,종로구, 내수동,11110,세종로대우,10,66.96,서울특별시 종로구  내수동,167
7,2008,"    96,000",2011,1,19,서울특별시,종로구, 견지동,11110,대성스카이렉스,7,149.72,서울특별시 종로구  견지동,110
8,1998,"    32,000",2011,1,12,서울특별시,종로구, 익선동,11110,운현신화타워,9,57.18,서울특별시 종로구  익선동,30-6
9,2003,"    20,500",2011,1,18,서울특별시,종로구, 익선동,11110,현대뜨레비앙,2,48.54,서울특별시 종로구  익선동,55
10,2003,"    20,000",2011,1,21,서울특별시,종로구, 익선동,11110,현대뜨레비앙,6,48.54,서울특별시 종로구  익선동,55
11,2003,"    19,000",2011,1,22,서울특별시,종로구, 익선동,11110,현대뜨레비앙,2,46.64,서울특별시 종로구  익선동,55
12,2006,"    45,500",2011,1,21,서울특별시,종로구, 인의동,11110,효성쥬얼리시티,9,84.64,서울특별시 종로구  인의동,48-2
13,1995,"    54,500",2011,1,15,서울특별시,종로구, 명륜2가,11110,아남1,14,84.8,서울특별시 종로구  명륜2가,4
14,1999,"    28,300",2011,1,17,서울특별시,종로구, 명륜2가,11110,아남3,3,47.43,서울특별시 종로구  명륜2가,237
15,1995,"    59,700",2011,1,21,서울특별시,종로구, 명륜2가,11110,아남1,18,84.9,서울특별시 종로구  명륜2가,4
16,1992,"    36,000",2011,1,3,서울특별시,종로구, 창신동,11110,창신쌍용1,10,79.87,서울특별시 종로구  창신동,702
17,1992,"    25,000",2011,1,4,서울특별시,종로구, 창신동,11110,창신쌍용1,3,54.7,서울특별시 종로구  창신동,702
18,1999,"    31,800",2011,1,5,서울특별시,종로구, 창신동,11110,두산,4,59.95,서울특별시 종로구  창신동,232
19,1999,"    48,500",2011,1,10,서울특별시,종로구, 창신동,11110,두산,16,84.9,서울특별시 종로구  창신동,232
20,1999,"    50,000",2011,1,20,서울특별시,종로구, 창신동,11110,두산,11,84.9,서울특별시 종로구  창신동,232
21,1992,"    24,250",2011,1,25,서울특별시,종로구, 창신동,11110,창신쌍용1,2,54.7,서울특별시 종로구  창신동,702
22,2002,"    18,000",2011,1,26,서울특별시,종로구, 창신동,11110,그린,2,41.96,서울특별시 종로구  창신동,23-326
23,1992,"    36,000",2011,1,27,서울특별시,종로구, 창신동,11110,창신쌍용1,8,79.87,서울특별시 종로구  창신동,702
24,2009,"    40,750",2011,1,7,서울특별시,종로구, 숭인동,11110,종로청계힐스테이트,4,59.9426,서울특별시 종로구  숭인동,766
25,2008,"    37,000",2011,1,9,서울특별시,종로구, 숭인동,11110,종로센트레빌,4,59.92,서울특별시 종로구  숭인동,2-1
26,2008,"    38,000",2011,1,17,서울특별시,종로구, 숭인동,11110,종로센트레빌,2,59.92,서울특별시 종로구  숭인동,2-1
27,2004,"    52,000",2011,1,20,서울특별시,종로구, 숭인동,11110,롯데캐슬천지인,15,84.95,서울특별시 종로구  숭인동,76
28,2004,"    50,000",2011,1,24,서울특별시,종로구, 숭인동,11110,롯데캐슬천지인,30,84.95,서울특별시 종로구  숭인동,76
29,2004,"    68,500",2011,1,29,서울특별시,종로구, 숭인동,11110,롯데캐슬천지인,16,111.73,서울특별시 종로구  숭인동,76
30,2004,"    64,600",2011,1,31,서울특별시,종로구, 숭인동,11110,롯데캐슬천지인,26,111.73,서울특별시 종로구  숭인동,76
31,1998,"    34,000",2011,1,8,서울특별시,종로구, 평창동,11110,삼성,13,84.98,서울특별시 종로구  평창동,596
32,1998,"    37,400",2011,1,11,서울특별시,종로구, 평창동,11110,삼성,15,84.93,서울특별시 종로구  평창동,596
33,2004,"    95,400",2011,1,20,서울특별시,종로구, 평창동,11110,벽산블루밍평창힐스,2,155.97,서울특별시 종로구  평창동,45
34,2001,"    40,000",2011,1,26,서울특별시,종로구, 평창동,11110,롯데낙천대,1,91.06,서울특별시 종로구  평창동,72
35,1998,"    23,000",2011,1,6,서울특별시,종로구, 신영동,11110,대아파크빌,13,59.22,서울특별시 종로구  신영동,254
36,2000,"    40,790",2011,1,4,서울특별시,종로구, 무악동,11110,현대,8,60,서울특별시 종로구  무악동,82
37,2000,"    35,980",2011,1,8,서울특별시,종로구, 무악동,11110,현대,9,60,서울특별시 종로구  무악동,82
38,2000,"    56,450",2011,1,14,서울특별시,종로구, 무악동,11110,현대,14,84.92,서울특별시 종로구  무악동,82
39,2000,"    56,000",2011,1,17,서울특별시,종로구, 무악동,11110,현대,1,114.9,서울특별시 종로구  무악동,82
40,2008,"    86,000",2011,1,17,서울특별시,종로구, 무악동,11110,인왕산아이파크,5,114.931,서울특별시 종로구  무악동,60
41,2000,"    67,490",2011,1,22,서울특별시,종로구, 무악동,11110,현대,14,114.9,서울특별시 종로구  무악동,82
42,2000,"    35,000",2011,1,25,서울특별시,종로구, 무악동,11110,현대,4,60,서울특별시 종로구  무악동,82
43,2000,"    64,990",2011,1,26,서울특별시,종로구, 무악동,11110,현대,5,114.9,서울특별시 종로구  무악동,82
44,2000,"    72,990",2011,1,26,서울특별시,종로구, 무악동,11110,현대,15,114.9,서울특별시 종로구  무악동,82
45,2000,"    54,000",2011,1,27,서울특별시,종로구, 무악동,11110,현대,11,84.92,서울특별시 종로구  무악동,82
46,2000,"    49,970",2011,1,27,서울특별시,종로구, 무악동,11110,현대,8,84.92,서울특별시 종로구  무악동,82
47,2000,"    34,990",2011,1,28,서울특별시,종로구, 무악동,11110,현대,7,60,서울특별시 종로구  무악동,82
48,2008,"    61,000",2011,1,29,서울특별시,종로구, 무악동,11110,인왕산아이파크,6,84.858,서울특별시 종로구  무악동,60
49,2000,"    55,990",2011,1,29,서울특별시,종로구, 무악동,11110,현대,15,84.92,서울특별시 종로구  무악동,82
50,2000,"    74,450",2011,1,29,서울특별시,종로구, 무악동,11110,현대,19,114.9,서울특별시 종로구  무악동,82
